point_order	x	y	comment
1	4500	720	outer free edge
2	4900	950	outer turn
3	5200	1450	outer turn
4	5330	2100	outer turn
5	5300	2900	outer turn
6	5100	3800	outer turn
7	4650	4650	outer turn
8	3900	5250	outer turn
9	3100	5510	outer turn
10	2300	5420	outer turn
11	1550	5150	outer turn
12	950	4750	outer turn
13	600	4200	outer turn
14	480	3500	outer turn
15	500	2850	outer turn
16	600	2500	outer-to-second-turn bridge
17	1150	1950	second turn
18	1550	1450	second turn
19	2200	1150	second turn
20	3000	1180	second turn
21	3800	1400	second turn
22	4400	1800	second turn
23	4680	2450	second turn
24	4720	3200	second turn
25	4470	3900	second turn
26	3950	4500	second turn
27	3250	4920	second turn
28	2500	4900	second turn
29	1850	4650	second turn
30	1400	4200	second turn
31	1180	3700	second-to-third-turn bridge
32	1500	3350	third turn
33	1600	2900	third turn
34	1700	2500	third turn
35	2050	2150	third turn
36	2550	1950	third turn
37	2750	2075	inner hook
38	2925	2325	inner hook
39	2825	2550	inner endpoint
